GENE	Sample1	Sample2
UBE2Q2P2	0	0
SSX9	0	0
CXorf67	0	0
EFCAB8	0	0
SPATA31B1P	0	0
SDR16C6P	0	0
GTPBP6	64.147	99.0223
EFCAB12	0	0
A1BG	20.62371	9.32803
A1CF	0	0
RBFOX1	0	0
GGACT	0	26.2061
A2ML1	0	0
A2M	0	9.69557
A4GALT	0	0
A4GNT	0	0
NPSR1-AS1	0	0
AAAS	13.0847	28.4318
AACS	38.3771	0
AADACL2	0	0
AADACL3	0	0
AADACL4	0	0
AADAC	0	0
AADAT	0	0
AAGAB	8.57846	5.97999
AAK1	45.48299	47.35985
AAMP	112.247	91.7606
AANAT	0	0
AARS2	20.4901	3.37959
AARSD1	26.4122	0
AARS	24.7468	24.2733
AASDHPPT	8.52885	21.1972
AASDH	7.85356	0
AASS	0	0
AATF	77.6323	53.54156
AATK	7.6764	0
ABAT	9.478060591551	10.0728
ABCA10	0	0
ABCA11P	0	0
ABCA12	0	0
ABCA13	5.30888	0
ABCA17P	0	0
ABCA1	2.15494	1.54377
ABCA2	52.5499	5.925469
ABCA3	3.50906	4.26671
ABCA4	0	0
ABCA5	3.7634	5.56007
ABCA6	0	0
ABCA7	202.0253	46.482718
ABCA8	0	0
ABCA9	0	0
ABCB10	29.8066	0
ABCB11	0	0
ABCB1	10.7311	7.58272
ABCB4	0	0
ABCB5	26.7744	0
ABCB6	15.6515	0
ABCB7	52.2378031713	14.1879
ABCB8	17.34212268909	0
ABCB9	0	0
ABCC10	13.591024712	9.637810322
ABCC11	0	0
ABCC12	0	0
ABCC13	0	0
ABCC1	36.58347	15.6255
ABCC2	0	0
ABCC3	23.7868	9.3797
ABCC4	0	0
ABCC5	26.12938	21.2641
ABCC6P2	0	0
ABCC6	0	0
ABCC8	0	0
ABCC9	2.41133	0
ABCD1	34.820878	11.70327
ABCD2	8.51483	6.04516
ABCD3	32.22060483	34.897
ABCD4	47.12	44.608
ABCE1	16.441016	11.58571
ABCF1	116.3709	54.475
ABCF2	21.02125	34.6953
ABCF3	30.208	19.15754874
